id,hunt.area,year,group.size,hab.diversity,prop.openness,mgmt.closure,irrigation,dist.road,slope,land.mgmt.descr,yr.wolf,tot.wolf,ave.annual.wolf,wr.density,month,ave.daily.swe,elev
1,51,2010,5,7,88.1,0,0,1.3,6.3,Private,10.25,26.1,8.7,1.3,1,25.7,2028
2,52,2010,2,6,44.3,0,0,2,27.8,Forest Service,3.5,14.8,4.9,4.5,1,26.3,2502
3,52,2010,30,8,42.5,0,0,0.8,5.8,Forest Service,3.5,14.8,4.9,4.5,1,26.3,2151
4,52,2010,7,8,35.7,0,0,0.9,16.6,Forest Service,3.5,14.8,4.9,4.5,1,26.3,2170
5,52,2010,23,6,9,0,0,3.5,27.3,Forest Service,3.5,14.8,4.9,4.5,1,26.3,2363
6,52,2010,3,6,12.2,0,0,3.6,5.1,Forest Service,3.5,14.8,4.9,4.5,1,26.3,2727
7,52,2010,216,2,100,0,0,1.5,6,Forest Service,3.5,14.8,4.9,4.5,1,26.3,2362
8,52,2010,86,6,37.8,0,0,0.7,6.2,Forest Service,3.5,14.8,4.9,4.5,1,26.3,2103
9,121,2010,49,6,45.8,0,0,1.7,11.8,Bureau of Land Management,1.9,8.4,2.8,2.1,1,41.8,2327
10,121,2010,4,6,52.4,0,0,1.6,4.8,Private,1.9,8.4,2.8,2.1,1,41.8,2466
11,121,2010,2,8,55.3,0,0,1.7,3,Forest Service,1.9,8.4,2.8,2.1,1,41.8,2645
12,54,2010,31,8,96.3,0,0,3.3,11.5,Forest Service,2.85,10.1,3.4,3.1,1,21.7,2695
13,121,2010,8,8,96.8,0,0,3.3,6.5,Forest Service,1.9,8.4,2.8,2.1,1,41.8,2722
14,54,2010,6,9,84,1,0,2.5,10.3,Bureau of Land Management,2.85,10.1,3.4,3.1,1,21.7,2175
15,54,2010,42,10,75.2,0,0,3.4,14.8,Private,2.85,10.1,3.4,3.1,1,21.7,2154
16,54,2010,57,10,62.1,0,0,1.4,15.8,Private,2.85,10.1,3.4,3.1,1,21.7,1947
17,54,2010,60,7,55.6,0,0,1.3,6.8,Private,2.85,10.1,3.4,3.1,1,21.7,1967
18,67,2010,268,7,94.9,0,0,4.8,8.9,Bureau of Land Management,14.5,46.1,15.4,7.7,2,18.7,2413
19,67,2010,623,3,99.9,0,0,4.2,5.9,Bureau of Land Management,14.5,46.1,15.4,7.7,2,18.7,2495
20,67,2010,1660,4,99.9,1,0,4.8,0.9,State,14.5,46.1,15.4,7.7,2,18.7,2472
21,67,2010,10,4,70.6,0,0,1.5,12.1,Private,14.5,46.1,15.4,7.7,2,18.7,2230
22,67,2010,93,5,99.9,1,0,3.6,9.3,Bureau of Land Management,14.5,46.1,15.4,7.7,2,18.7,2365
23,67,2010,27,4,97.5,1,0,2.8,16.1,Bureau of Land Management,14.5,46.1,15.4,7.7,2,18.7,2381
24,67,2010,29,5,98.4,1,0,3.3,9.2,Bureau of Land Management,14.5,46.1,15.4,7.7,2,18.7,2406
25,67,2010,44,9,62.2,0,0,5.8,3.6,Forest Service,14.5,46.1,15.4,7.7,2,18.7,2766
26,67,2010,10,9,66.5,0,0,5.7,5.3,Forest Service,14.5,46.1,15.4,7.7,2,18.7,2783
27,63,2010,770,6,99.4,0,0,3,7.1,Private,4,14,4.7,2.9,2,6.7,2144
28,63,2010,166,2,100,0,0,3.2,4,Private,4,14,4.7,2.9,2,6.7,2148
29,121,2010,29,8,77.5,0,0,1.9,3.1,Forest Service,1.9,8.4,2.8,2.1,2,41.8,2684
30,121,2010,47,4,98.8,0,0,3.2,14.2,Bureau of Land Management,1.9,8.4,2.8,2.1,2,41.8,2006
31,121,2010,95,5,92.3,0,0,3.9,7.3,Forest Service,1.9,8.4,2.8,2.1,2,41.8,2239
32,121,2010,7,8,86.3,0,0,1.6,5.1,Forest Service,1.9,8.4,2.8,2.1,2,41.8,2575
33,54,2010,6,8,91.6,0,0,3.2,8.2,Forest Service,2.85,10.1,3.4,3.1,2,21.7,2667
34,54,2010,22,7,91.4,0,0,3.2,7.3,Forest Service,2.85,10.1,3.4,3.1,2,21.7,2666
35,121,2010,4,4,100,0,0,3.4,17.1,Forest Service,1.9,8.4,2.8,2.1,2,41.8,2957
36,50,2010,103,1,100,0,0,0.5,0.4,Bureau of Land Management,3.5,27.4,9.1,0.8,2,32.5,1318
37,50,2010,117,5,8.8,0,0,1.9,8.8,Forest Service,3.5,27.4,9.1,0.8,2,32.5,1807
38,50,2010,259,10,72.5,0,1,0.4,5.5,Private,3.5,27.4,9.1,0.8,2,32.5,1890
39,59,2010,103,3,99.9,0,0,3.7,22.5,Private,4.65,10.9,3.6,3.1,2,16.1,2334
40,59,2010,41,6,94.6,0,0,3.3,4.2,Private,4.65,10.9,3.6,3.1,2,16.1,2417
41,59,2010,38,5,94.8,0,0,3.4,6.8,Private,4.65,10.9,3.6,3.1,2,16.1,2405
42,59,2010,66,4,99.9,0,0,2.8,3.3,Private,4.65,10.9,3.6,3.1,2,16.1,2142
43,59,2010,4,4,96.3,0,0,0.5,4.1,Private,4.65,10.9,3.6,3.1,2,16.1,1945
44,59,2010,70,3,100,0,0,2.7,11.3,Forest Service,4.65,10.9,3.6,3.1,2,16.1,2149
45,59,2010,182,11,66.4,0,1,0.4,0.5,Private,4.65,10.9,3.6,3.1,2,16.1,1865
46,25,2010,290,3,85.7,0,0,3.8,11.9,State,0,0,0,1.5,2,29.4,2077
47,25,2010,15,5,15.4,0,0,4.6,23.4,Bureau of Land Management,0,0,0,1.5,2,29.4,2320
48,25,2010,186,4,97,0,0,4.7,14.3,Bureau of Land Management,0,0,0,1.5,2,29.4,2219
49,99,2010,79,5,99.3,0,0,0.2,3.8,Bureau of Land Management,0,8,2.7,0.4,2,17.4,2198
50,99,2010,75,4,100,0,0,2,4.9,Bureau of Land Management,0,8,2.7,0.4,2,17.4,2221
51,99,2010,8,2,100,0,0,3,2,Bureau of Land Management,0,8,2.7,0.4,2,17.4,2276
52,67,2010,21,4,98,0,0,5.7,11.3,State,14.5,46.1,15.4,7.7,3,18.7,2609
53,67,2010,70,3,98.3,1,0,4,6.1,Bureau of Land Management,14.5,46.1,15.4,7.7,3,18.7,2467
54,67,2010,975,2,100,1,0,4.7,0.9,Bureau of Land Management,14.5,46.1,15.4,7.7,3,18.7,2460
55,67,2010,35,4,44.8,0,0,2,2.6,Bureau of Land Management,14.5,46.1,15.4,7.7,3,18.7,2321
56,67,2010,407,11,76.7,1,0,5.6,1.3,WGF Commission,14.5,46.1,15.4,7.7,3,18.7,2211
57,67,2010,50,4,54,1,0,4.8,9.4,WGF Commission,14.5,46.1,15.4,7.7,3,18.7,2409
58,67,2010,60,5,84.4,1,0,2,1.4,WGF Commission,14.5,46.1,15.4,7.7,3,18.7,2186
59,67,2010,42,5,83.9,1,0,2.4,5,WGF Commission,14.5,46.1,15.4,7.7,3,18.7,2285
60,67,2010,65,3,73.1,1,0,3.3,9,WGF Commission,14.5,46.1,15.4,7.7,3,18.7,2487
61,67,2010,32,6,91.3,0,0,3.2,5.5,Private,14.5,46.1,15.4,7.7,3,18.7,2479
62,67,2010,157,4,95.8,0,0,3.4,3.8,Private,14.5,46.1,15.4,7.7,3,18.7,2479
63,67,2010,385,4,96.4,1,0,3.6,6.1,WGF Commission,14.5,46.1,15.4,7.7,3,18.7,2501
64,67,2010,7,4,98.3,1,0,3.7,18.6,WGF Commission,14.5,46.1,15.4,7.7,3,18.7,2319
65,25,2010,81,2,98.4,0,0,5.1,1.8,State,0,0,0,1.5,3,29.4,2161
66,25,2010,32,2,100,0,0,5.2,5.4,Private,0,0,0,1.5,3,29.4,2191
67,25,2010,162,3,92,0,0,3.6,7.2,Bureau of Land Management,0,0,0,1.5,3,29.4,2277
68,99,2010,100,4,100,0,0,0.1,2.5,Bureau of Land Management,0,8,2.7,0.4,3,17.4,2413
69,99,2010,329,3,100,0,0,2.5,2.3,Bureau of Land Management,0,8,2.7,0.4,3,17.4,2280
70,59,2010,140,8,91.2,0,0,3.5,11.7,Forest Service,4.65,10.9,3.6,3.1,3,16.1,2276
71,59,2010,145,8,92.6,0,0,6.1,16.1,Private,4.65,10.9,3.6,3.1,3,16.1,2305
72,59,2010,16,3,99.9,0,0,3.9,5.4,Private,4.65,10.9,3.6,3.1,3,16.1,2308
73,59,2010,21,3,99.9,0,0,4,11.8,Private,4.65,10.9,3.6,3.1,3,16.1,2311
74,59,2010,14,7,75.9,0,0,8.2,10.4,Forest Service,4.65,10.9,3.6,3.1,3,16.1,3043
75,63,2010,464,2,100,0,0,3.4,11.2,Private,4,14,4.7,2.9,3,6.7,2154
76,63,2010,34,6,99.3,0,0,3,7.1,Private,4,14,4.7,2.9,3,6.7,2142
77,63,2010,132,6,98.6,0,0,2.8,7.5,Private,4,14,4.7,2.9,3,6.7,2153
78,63,2010,57,2,100,0,0,2.6,1.8,Private,4,14,4.7,2.9,3,6.7,2191
79,63,2010,187,7,88.3,0,0,3.9,11.9,Private,4,14,4.7,2.9,3,6.7,2139
80,51,2010,59,10,44.5,0,0,0.4,2.7,Forest Service,10.25,26.1,8.7,1.3,3,25.7,2102
