"","Year","Rainfall","Site","Birds"
"1",1956,15.16,"Stilt.Oahu",163
"2",1958,16.26,"Stilt.Oahu",549
"3",1959,21.25,"Stilt.Oahu",533
"5",1961,19.93,"Stilt.Oahu",134
"6",1962,12.63,"Stilt.Oahu",175
"7",1963,20.09,"Stilt.Oahu",356
"8",1964,10.02,"Stilt.Oahu",485
"9",1966,12.49,"Stilt.Oahu",242
"10",1967,32.7,"Stilt.Oahu",209
"11",1968,18.4,"Stilt.Oahu",175
"12",1969,25.21,"Stilt.Oahu",162
"13",1970,18.61,"Stilt.Oahu",322
"14",1971,20.13,"Stilt.Oahu",362
"15",1973,10.27,"Stilt.Oahu",509
"16",1974,18.68,"Stilt.Oahu",107
"17",1975,13.74,"Stilt.Oahu",110
"18",1976,12.83,"Stilt.Oahu",249
"19",1977,11.5,"Stilt.Oahu",738
"20",1978,19.15,"Stilt.Oahu",396
"21",1979,26.82,"Stilt.Oahu",211
"22",1980,27.87,"Stilt.Oahu",384
"23",1981,12.85,"Stilt.Oahu",418
"24",1982,34.04,"Stilt.Oahu",357
"25",1983,13.05,"Stilt.Oahu",231
"26",1984,8.56,"Stilt.Oahu",621
"27",1985,20,"Stilt.Oahu",322
"28",1986,18.39,"Stilt.Oahu",484
"29",1987,24.31,"Stilt.Oahu",821
"30",1988,26.79,"Stilt.Oahu",478
"31",1989,40.63,"Stilt.Oahu",740
"32",1990,35.2,"Stilt.Oahu",515
"33",1991,16.09,"Stilt.Oahu",371
"34",1992,16.98,"Stilt.Oahu",562
"35",1993,12.69,"Stilt.Oahu",393
"37",1995,13.45,"Stilt.Oahu",598
"38",1996,31,"Stilt.Oahu",530
"39",1997,23.08,"Stilt.Oahu",558
"40",1998,6.76,"Stilt.Oahu",502
"41",1999,9.66,"Stilt.Oahu",442
"42",2000,9.72,"Stilt.Oahu",499
"43",2001,10.53,"Stilt.Oahu",620
"44",2002,15.07,"Stilt.Oahu",692
"45",2003,13.83,"Stilt.Oahu",240
"46",1956,15.16,"Stilt.Maui",169
"47",1958,16.26,"Stilt.Maui",159
"48",1959,21.25,"Stilt.Maui",211
"49",1960,10.94,"Stilt.Maui",232
"50",1961,19.93,"Stilt.Maui",155
"51",1962,12.63,"Stilt.Maui",282
"52",1963,20.09,"Stilt.Maui",170
"53",1964,10.02,"Stilt.Maui",164
"54",1966,12.49,"Stilt.Maui",253
"55",1967,32.7,"Stilt.Maui",188
