Treatment,Chamber,Pot,Growth
Add C,x,a,6.131818084
Add C,x,a,7.420323448
Add C,x,a,8.202711155
Add C,y,b,15.7278899
Add C,y,b,9.654633599
Add C,y,b,13.14137856
Add C,z,c,9.888548401
Add C,z,c,13.06481484
Add C,z,c,8.432006064
Add C,q,d,8.026594683
Add C,q,d,4.32097087
Add C,q,d,5.21869786
Control,x,e,12.20944981
Control,x,e,14.56304885
Control,x,e,10.12875516
Control,y,f,17.08792585
Control,y,f,17.6939095
Control,y,f,12.30635754
Control,z,g,15.62183699
Control,z,g,19.37438222
Control,z,g,17.3150178
Control,q,h,10.87003357
Control,q,h,10.93321526
Control,q,h,14.74202405
Add N,x,i,24.57947109
Add N,x,i,23.51273165
Add N,x,i,26.17917811
Add N,y,j,14.84547081
Add N,y,j,15.89763785
Add N,y,j,17.53316684
Add N,z,k,23.06203492
Add N,z,k,19.72981127
Add N,z,k,22.42015561
Add N,q,l,14.97385571
Add N,q,l,15.98817281
Add N,q,l,15.69416415
